Country,Time,House Price Index,Income Index,Affordability Ratio
Sweden,2014-Q2,140.29498864322477,128.06745865694833,109.55
Sweden,2014-Q3,141.63192547655333,128.06745865694833,110.59
Sweden,2014-Q4,140.69750725971076,128.06745865694833,109.86
Sweden,2015-Q1,141.10002587619678,131.23770433923167,107.51
Sweden,2015-Q2,141.96256576866682,131.23770433923167,108.17
Sweden,2015-Q3,147.22118397975908,131.23770433923167,112.18
Sweden,2015-Q4,150.19694660878068,131.23770433923167,114.45
Sweden,2016-Q1,152.25266668583424,136.06018725696043,111.9
Sweden,2016-Q2,153.77648716253128,136.06018725696043,113.02
Sweden,2016-Q3,157.7010436732699,136.06018725696043,115.91
Sweden,2016-Q4,160.38929300480146,136.06018725696043,117.88
Sweden,2017-Q1,164.91762744026911,138.1600456577895,119.37
Sweden,2017-Q2,167.96526839366322,138.1600456577895,121.57
Sweden,2017-Q3,169.77660216785026,138.1600456577895,122.88
Sweden,2017-Q4,168.7746183260976,138.1600456577895,122.16
Sweden,2018-Q1,171.9803915931112,139.73652661509047,123.07
Sweden,2018-Q2,175.3730485034933,139.73652661509047,125.5
Sweden,2018-Q3,179.80075328483943,139.73652661509047,128.67
Sweden,2018-Q4,184.2140824013111,139.73652661509047,131.83
Sweden,2019-Q1,185.70915154825914,142.03591442955738,130.75
Sweden,2019-Q2,184.84661165578908,142.03591442955738,130.14
Sweden,2019-Q3,188.19614157154774,142.03591442955738,132.5
Sweden,2019-Q4,186.15479715936866,142.03591442955738,131.06
Sweden,2020-Q1,185.1341249532791,140.45838666913616,131.81
Sweden,2020-Q2,186.51418878123113,140.45838666913616,132.79
Sweden,2020-Q3,183.53842615220955,140.45838666913616,130.67
Sweden,2020-Q4,180.5008481642276,140.45838666913616,128.51
Sweden,2021-Q1,186.4523734222708,146.23438432381027,127.5
Sweden,2021-Q2,194.48837008711655,146.23438432381027,133.0
Sweden,2021-Q3,199.64923377706222,146.23438432381027,136.53
Sweden,2021-Q4,201.6043241999943,146.23438432381027,137.86
Sweden,2022-Q1,205.83076967309745,147.5839940640649,139.47
Sweden,2022-Q2,208.7404042436963,147.5839940640649,141.44
Sweden,2022-Q3,214.69192950173945,147.5839940640649,145.47
Sweden,2022-Q4,223.48983640493373,147.5839940640649,151.43
Sweden,2023-Q1,222.87168281533022,146.4602251024399,152.17
